Frame,Time_Seconds,X_Position,Y_Position,Velocity_X,Velocity_Y,IsFalling,IsElectrocuted,Dialogue
41,0,20.5,5.9,0.5,-0.1,TRUE,FALSE,
42,0,21,5.8,0.5,-0.1,TRUE,FALSE,
43,0,21.5,5.7,0.5,-0.1,TRUE,FALSE,
44,0,22,5.6,0.5,-0.1,TRUE,FALSE,
45,0,22.5,5.5,0.5,-0.1,TRUE,FALSE,
46,0,23,5.4,0.5,-0.1,TRUE,FALSE,
47,0,23.5,5.3,0.5,-0.1,TRUE,FALSE,
48,0,24,5.2,0.5,-0.1,TRUE,FALSE,
49,0,24.5,5.1,0.5,-0.1,TRUE,FALSE,
50,0,25,5,0.5,-0.1,TRUE,TRUE,Ouch! That hurt!
51,0,25.5,4.9,0.5,-0.1,TRUE,FALSE,
52,0,26,4.8,0.5,-0.1,TRUE,FALSE,
53,0,26.5,4.7,0.5,-0.1,TRUE,FALSE,
54,0,27,4.6,0.5,-0.1,TRUE,FALSE,
55,0,27.5,4.5,0.5,-0.1,TRUE,FALSE,
56,0,28,4.4,0.5,-0.1,TRUE,FALSE,
57,0,28.5,4.3,0.5,-0.1,TRUE,FALSE,
58,0,29,4.2,0.5,-0.1,TRUE,FALSE,
59,0,29.5,4.1,0.5,-0.1,TRUE,FALSE,
60,0,30,4,0.5,-0.1,TRUE,FALSE,
61,0,30.5,3.9,0.5,-0.1,TRUE,FALSE,
62,0,31,3.8,0.5,-0.1,TRUE,FALSE,
63,0,31.5,3.7,0.5,-0.1,TRUE,FALSE,
64,0,32,3.6,0.5,-0.1,TRUE,FALSE,
65,0,32.5,3.5,0.5,-0.1,TRUE,FALSE,
66,0,33,3.4,0.5,-0.1,TRUE,FALSE,
67,0,33.5,3.3,0.5,-0.1,TRUE,FALSE,
68,0,34,3.2,0.5,-0.1,TRUE,FALSE,
69,0,34.5,3.1,0.5,-0.1,TRUE,FALSE,
70,0,35,3,0.5,-0.1,TRUE,FALSE,
71,0,35.5,2.9,0.5,-0.1,TRUE,FALSE,
72,0,36,2.8,0.5,-0.1,TRUE,FALSE,
73,0,36.5,2.7,0.5,-0.1,TRUE,FALSE,
74,0,37,2.6,0.5,-0.1,TRUE,FALSE,
75,0,37.5,2.5,0.5,-0.1,TRUE,TRUE,Ouch! That hurt!
76,0,38,2.4,0.5,-0.1,TRUE,FALSE,
77,0,38.5,2.3,0.5,-0.1,TRUE,FALSE,
78,0,39,2.2,0.5,-0.1,TRUE,FALSE,
79,0,39.5,2.1,0.5,-0.1,TRUE,FALSE,
80,0,40,2,0.5,-0.1,TRUE,FALSE,
81,0,40.5,1.9,0.5,-0.1,TRUE,FALSE,
82,0,41,1.8,0.5,-0.1,TRUE,FALSE,
83,0,41.5,1.7,0.5,-0.1,TRUE,FALSE,
84,0,42,1.6,0.5,-0.1,TRUE,FALSE,
85,0,42.5,1.5,0.5,-0.1,TRUE,FALSE,
86,0,43,1.4,0.5,-0.1,TRUE,FALSE,
87,0,43.5,1.3,0.5,-0.1,TRUE,FALSE,
88,0,44,1.2,0.5,-0.1,TRUE,FALSE,
89,0,44.5,1.1,0.5,-0.1,TRUE,FALSE,
90,0,45,1,0.5,-0.1,TRUE,FALSE,
91,0,45.5,0.9,0.5,-0.1,TRUE,FALSE,
92,0,46,0.8,0.5,-0.1,TRUE,FALSE,
93,0,46.5,0.7,0.5,-0.1,TRUE,FALSE,
94,0,47,0.6,0.5,-0.1,TRUE,FALSE,
95,0,47.5,0.5,0.5,-0.1,TRUE,FALSE,
96,0,48,0.4,0.5,-0.1,TRUE,FALSE,
97,0,48.5,0.3,0.5,-0.1,TRUE,FALSE,
98,0,49,0.2,0.5,-0.1,TRUE,FALSE,
99,0,49.5,0.1,0.5,-0.1,TRUE,FALSE,
100,0,50,0,0.5,-0.1,TRUE,TRUE,Ouch! That hurt!
